Dataset,Model_ID,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
FULL,7,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.2571196330598132,77.07400277985771,0.7217819848085182,19.902399523421884,d_csds = -0.593566 - 2.094429*u_r_mm + 16.184999*delta_peak_mm - 0.073430*tau_peak_MPa_csds + 0.160204*u_r_mm^2 - 1.110881*u_r_mm delta_peak_mm - 0.329041*u_r_mm tau_peak_MPa_csds - 0.294887*delta_peak_mm^2 + 2.594651*delta_peak_mm tau_peak_MPa_csds + 0.059796*tau_peak_MPa_csds^2
FULL,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,1,0.18936692321104165,80.51200354039564,0.41689985432471066,28.81272877138577,d_csds = -5.132752 - 3.033564*u_r_mm + 18.676091*delta_peak_mm + 3.900682*tau_peak_MPa_csds
FULL,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,1,0.192892703884462,80.33672263221202,0.3906853325693711,29.453277713603136,d_csds = -3.075480 - 3.407887*u_r_mm + 20.031832*delta_peak_mm + 5.083384*tau_peak_MPa_csds - 1.881814*tau_r_MPa
FULL,9,u_r_mm,3,0.02101623221819826,88.47818790319423,0.012346426858426685,37.49860707411011,d_csds = -17.185015 + 18.677968*u_r_mm - 1.711975*u_r_mm^2 + 0.037678*u_r_mm^3
FULL,5,u_r_mm,2,0.003513665505630592,89.26560392759117,0.008568456565980265,37.570258414343236,d_csds = 15.731894 + 2.564227*u_r_mm - 0.128719*u_r_mm^2
FULL,6,u_r_mm + delta_peak_mm,2,0.19287933667128054,80.33738789298748,0.00361570506268305,37.66398366712162,d_csds = -6.379623 - 8.686475*u_r_mm + 67.815638*delta_peak_mm + 0.634026*u_r_mm^2 - 4.166930*u_r_mm delta_peak_mm - 0.498482*delta_peak_mm^2
FULL,1,u_r_mm,1,3.755443486042065e-05,89.42116402240376,-0.01714776241364202,38.05439660282173,d_csds = 23.404993 - 0.114575*u_r_mm
FULL,2,u_r_mm + delta_peak_mm,1,0.1052429734897452,84.58649561767001,-0.10918026274728909,39.7387207622842,d_csds = 10.726133 - 3.735400*u_r_mm + 24.908188*delta_peak_mm
FULL,8,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.5564904189760594,59.55249715267339,-0.23393637369684872,41.91400870805207,d_csds = -3.190442 + 1.482768*u_r_mm + 3.058439*delta_peak_mm - 3.695333*tau_peak_MPa_csds + 8.027427*tau_r_MPa + 0.606351*u_r_mm^2 - 5.412916*u_r_mm delta_peak_mm - 15.659485*u_r_mm tau_peak_MPa_csds + 16.151777*u_r_mm tau_r_MPa + 5.882054*delta_peak_mm^2 + 72.893133*delta_peak_mm tau_peak_MPa_csds - 72.724050*delta_peak_mm tau_r_MPa + 1.620000*tau_peak_MPa_csds^2 - 1.865543*tau_peak_MPa_csds tau_r_MPa - 0.297070*tau_r_MPa^2
FULL,12,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.8826137199128894,30.637769469124446,-1.8077480478341839,63.22544329909683,d_csds = -7.881662 + 6.411658*u_r_mm - 21.845039*delta_peak_mm + 35.556095*tau_peak_MPa_csds - 36.472318*tau_r_MPa + 1.896104*u_r_mm^2 - 20.266188*u_r_mm delta_peak_mm - 12.447241*u_r_mm tau_peak_MPa_csds + 12.903325*u_r_mm tau_r_MPa + 44.513149*delta_peak_mm^2 + 101.875590*delta_peak_mm tau_peak_MPa_csds - 114.572446*delta_peak_mm tau_r_MPa - 35.789660*tau_peak_MPa_csds^2 + 72.576342*tau_peak_MPa_csds tau_r_MPa - 35.658013*tau_r_MPa^2 - 0.190064*u_r_mm^3 + 1.932949*u_r_mm^2 delta_peak_mm + 1.780062*u_r_mm^2 tau_peak_MPa_csds - 1.741722*u_r_mm^2 tau_r_MPa - 4.529028*u_r_mm delta_peak_mm^2 - 26.494438*u_r_mm delta_peak_mm tau_peak_MPa_csds + 26.939093*u_r_mm delta_peak_mm tau_r_MPa + 7.625223*u_r_mm tau_peak_MPa_csds^2 - 15.881047*u_r_mm tau_peak_MPa_csds tau_r_MPa + 8.199176*u_r_mm tau_r_MPa^2 + 0.719390*delta_peak_mm^3 + 62.297607*delta_peak_mm^2 tau_peak_MPa_csds - 62.231404*delta_peak_mm^2 tau_r_MPa - 17.718631*delta_peak_mm tau_peak_MPa_csds^2 + 33.247485*delta_peak_mm tau_peak_MPa_csds tau_r_MPa - 15.453073*delta_peak_mm tau_r_MPa^2 - 1.015535*tau_peak_MPa_csds^3 + 6.664720*tau_peak_MPa_csds^2 tau_r_MPa - 10.998338*tau_peak_MPa_csds tau_r_MPa^2 + 5.367442*tau_r_MPa^3
FULL,11,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.29844368594327564,74.89964214553336,-2.0478995661133146,65.8738644958445,d_csds = 3.178913 - 5.702443*u_r_mm + 29.613554*delta_peak_mm + 0.837800*tau_peak_MPa_csds + 4.644248*u_r_mm^2 - 33.433204*u_r_mm delta_peak_mm - 1.354885*u_r_mm tau_peak_MPa_csds + 32.362858*delta_peak_mm^2 + 7.125509*delta_peak_mm tau_peak_MPa_csds + 0.024539*tau_peak_MPa_csds^2 - 0.292989*u_r_mm^3 + 2.061079*u_r_mm^2 delta_peak_mm + 0.120561*u_r_mm^2 tau_peak_MPa_csds - 1.432815*u_r_mm delta_peak_mm^2 - 0.752418*u_r_mm delta_peak_mm tau_peak_MPa_csds + 0.030978*u_r_mm tau_peak_MPa_csds^2 - 0.946459*delta_peak_mm^3 - 0.447320*delta_peak_mm^2 tau_peak_MPa_csds + 0.076274*delta_peak_mm tau_peak_MPa_csds^2 - 0.009550*tau_peak_MPa_csds^3
FULL,10,u_r_mm + delta_peak_mm,3,0.20576274433089803,79.69362856771626,-4.480963049833597,88.33671666590355,d_csds = -2.282016 - 11.038860*u_r_mm + 72.758973*delta_peak_mm + 3.218359*u_r_mm^2 - 22.671814*u_r_mm delta_peak_mm + 20.494987*delta_peak_mm^2 - 0.158859*u_r_mm^3 + 1.028624*u_r_mm^2 delta_peak_mm - 0.160674*u_r_mm delta_peak_mm^2 - 1.588497*delta_peak_mm^3
HIGH,6,u_r_mm + delta_peak_mm,2,0.384701950300233,52.998981163112184,0.07967591155251086,252.52601943486806,d_csds = -5.407303 - 8.917724*u_r_mm + 89.762019*delta_peak_mm + 0.575049*u_r_mm^2 - 3.008393*u_r_mm delta_peak_mm - 9.277035*delta_peak_mm^2
HIGH,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,1,0.2917513045257205,56.861412430038946,0.07728737153680043,252.85350062462578,d_csds = -15.490258 - 4.073063*u_r_mm + 19.615016*delta_peak_mm + 4.133694*tau_peak_MPa_csds
HIGH,2,u_r_mm + delta_peak_mm,1,0.199885330984093,60.43671743708131,0.06179327771936893,254.96760735724345,d_csds = 23.052389 - 3.692671*u_r_mm + 25.022911*delta_peak_mm
HIGH,10,u_r_mm + delta_peak_mm,3,0.40528941262001816,52.10478242428904,0.05898952174706862,255.3482983343643,d_csds = 19.383616 - 24.712206*u_r_mm + 105.983248*delta_peak_mm + 3.226733*u_r_mm^2 - 11.036472*u_r_mm delta_peak_mm - 0.213304*delta_peak_mm^2 - 0.259226*u_r_mm^3 + 2.241149*u_r_mm^2 delta_peak_mm - 5.964202*u_r_mm delta_peak_mm^2 + 3.436223*delta_peak_mm^3
HIGH,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,1,0.37229534806026654,53.5306387121303,0.04850578257435112,256.76676825587566,d_csds = -7.135348 - 5.496011*u_r_mm + 25.518613*delta_peak_mm + 9.202608*tau_peak_MPa_csds - 7.057214*tau_r_MPa
HIGH,9,u_r_mm,3,0.10724631056089229,63.839661931151255,-0.012957296513186112,264.9301021147669,d_csds = -64.566925 + 44.669769*u_r_mm - 3.847618*u_r_mm^2 + 0.079824*u_r_mm^3
HIGH,5,u_r_mm,2,0.029901240998220557,66.54765036157553,-0.0338542719831878,267.64886229653206,d_csds = 20.351919 + 7.553601*u_r_mm - 0.268916*u_r_mm^2
HIGH,1,u_r_mm,1,0.0007919269685481289,67.53870339137636,-0.04488247728251804,269.0725914030734,d_csds = 43.191399 + 0.458134*u_r_mm
HIGH,7,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.4828457887416774,48.58864460454081,-0.650485975686711,338.1751237013809,d_csds = 57.935848 - 7.547389*u_r_mm + 67.030952*delta_peak_mm - 13.492386*tau_peak_MPa_csds + 0.815851*u_r_mm^2 - 3.047346*u_r_mm delta_peak_mm - 0.726670*u_r_mm tau_peak_MPa_csds - 7.208868*delta_peak_mm^2 + 1.207962*delta_peak_mm tau_peak_MPa_csds + 0.746886*tau_peak_MPa_csds^2
