dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file
FULL,FULL_direct_poly_rank_4,polynomial,log_gap,4,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9729796809533666,0.9774590176242984,0.6576418522417528,5.728072391103745,1.41067816543344,299,0.17994579860937507,0.9856602544515707,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.06521768997187863,0.9998682829613051,0.03222452327572378,0.008244553309187046,0.40422874273226755,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_poly_rank_4_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_3,polynomial,log_gap,3,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.9719376256804968,0.97925572784343,0.6332878085312488,5.928309080855839,1.4107271212564692,299,0.17878959606610867,0.9858439362705896,28.156147582843218,0.8813371370726681,28.156147582843197,0.8764874348693298,4.327640347324965,0.8018654351633192,0.08704654388351302,0.9997653534358866,0.03484343793576876,0.008522143187486397,1.0321408734875137,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_poly_rank_3_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_2,polynomial,log_gap,2,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,0.9729355629602068,0.9776017293709468,0.6288563793957666,5.964020999345323,1.4109566913659477,299,0.1644868940048409,0.9880182398243879,27.62860181300535,0.8857421175470742,27.628601813005332,0.8810724450765889,3.969905456476542,0.8332682719287345,0.10222034233882059,0.9996764169259208,0.027383980208542345,0.006445263790151354,1.5737323124192035,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_poly_rank_2_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_1,polynomial,log_gap,1,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9710146073645362,0.9788231307844368,0.6161077452845486,6.065587036539846,1.4195323490644818,299,0.18286617976274586,0.9851910315758643,27.55890637330344,0.8863178404466437,27.558906373303422,0.8816716975333061,4.353413910799863,0.799498399167307,0.10438848008147275,0.9996625446772126,0.03697196403453166,0.007548124537895209,1.4069317175388023,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_poly_rank_1_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_5,polynomial,log_gap,5,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9726619288076144,0.97700105874653,0.629669992991691,5.957480309220316,1.4103035273213556,299,0.1715301126650584,0.9869701694309767,26.094823909695943,0.8980758502199293,26.09482390969593,0.8939102523102909,4.1110501960014165,0.8212016600724955,0.12829387093359065,0.999490290236665,0.03253190555105149,0.006811768435413847,2.01508215024472,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_poly_rank_5_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_5,exponential,log_gap,5,tau_peak_MPa_csds + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_r,0.877719852288039,0.8171535445765243,0.5616940400062028,6.4812213202637645,1.2216525844863262,299,0.5795455125977713,0.8512581709426874,49.79792066591165,0.6288146951421101,49.797920665911626,0.613644505021899,6.967099207412743,0.4864746201926432,0.30573140743796473,0.997105382085684,0.11637054966978565,0.033641900226962944,3.5213723663068595,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_exp_rank_5_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_3,exponential,log_gap,3,tau_peak_MPa_csds + tau_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_u_p,0.9006414284984484,0.7945582263602656,0.4788022055698419,7.067559094984743,1.2317662575513546,299,0.5519861714950836,0.8650681675543443,77.62221770465939,0.09813724995524509,77.62221770465938,0.06127849180544853,7.013444012560406,0.47962000577501296,0.5069203792506589,0.9920422436723623,0.11059988330757697,0.0289008316232764,8.325311774909286,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_exp_rank_3_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_4,exponential,log_gap,4,tau_peak_MPa_csds + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_u_p,0.9006414284984484,0.7945582263602656,0.4788022055698419,7.067559094984743,1.2317662575513546,299,0.5519861714950836,0.8650681675543443,77.62221770465939,0.09813724995524509,77.62221770465938,0.06127849180544853,7.013444012560406,0.47962000577501296,0.5069203792506589,0.9920422436723623,0.11059988330757697,0.0289008316232764,8.325311774909286,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_exp_rank_4_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_2,exponential,log_gap,2,u_r_mm + tau_r_MPa + u_r_estimated + u_p_x_tau_r + u_p_div_u_r + tau_r_div_u_p,0.8692317726446915,0.8557409834727224,0.3268595219140979,8.031950389367028,1.2330993821046856,299,0.5188606090156909,0.8807771704401237,50.56364702330716,0.6173117409782962,50.56364702330715,0.601671429871814,6.362848552545066,0.571687158115382,0.554650103937884,0.9904731499019017,0.11756116515392291,0.022432335111915624,7.174512624482899,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_exp_rank_2_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_1,exponential,log_gap,1,tau_r_MPa + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_u_p,0.9087643265454536,0.8059657998602022,0.4665762855259562,7.14997171117897,1.2459850755399424,299,0.5595380711225568,0.8613508199692643,56.06728747043939,0.5294698603145067,56.067287470439375,0.5102394878215781,6.830711488199925,0.5063833417267604,0.7275397926257523,0.9836082757977795,0.1476862312512952,0.030463220411726333,9.843926908118691,299,299,299,299,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/full/FULL_direct_exp_rank_1_b_d_from_e_predictions.csv
HIGH,HIGH_direct_poly_rank_3,polynomial,log_gap,3,delta_peak_mm + u_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.968709852623982,0.8894386581528697,0.9961470642762336,0.1099059978796695,1.371886419390325,67,0.20684259985309889,0.9791553452346062,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.32135271652398056,0.9844296993650868,0.2270784727674752,0.9970862900048503,0.10015368309323747,0.040583517102727035,1.4758695770194958,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_3_b_d_from_e_predictions.csv
HIGH,HIGH_direct_poly_rank_4,polynomial,log_gap,4,delta_peak_mm + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.968709852623982,0.8894386581528697,0.9961470642762336,0.1099059978796695,1.371886419390325,67,0.20684259985309889,0.9791553452346062,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.32135271652398056,0.9844296993650868,0.2270784727674752,0.9970862900048503,0.10015368309323747,0.040583517102727035,1.4758695770194958,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_4_b_d_from_e_predictions.csv
HIGH,HIGH_direct_poly_rank_5,polynomial,log_gap,5,delta_peak_mm + u_r_estimated + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.9684295831985008,0.8901429086220883,0.9958443376486934,0.1141420422167387,1.3617615585932072,67,0.20613848649871216,0.9792970183599149,69.20903763308303,0.8101495883911162,69.20903763308299,0.8106661269403158,0.3199519892030691,0.9845651406525158,0.22734796277645702,0.9970793700915834,0.09996963106342138,0.03975614494900897,1.4805340117685306,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_5_b_d_from_e_predictions.csv
HIGH,HIGH_direct_exp_rank_4,exponential,log_gap,4,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,0.8957974743804162,0.8810078612580536,0.9462679042821868,0.4104331224485482,1.2819486349468343,67,0.3660232231821313,0.9347272345630688,95.11177531533157,0.6414460604337979,95.11177531533154,0.6424216018096831,0.7202476972966879,0.9217837835536438,0.2283056100170872,0.9970547134037981,0.1791037028396608,0.1536464938213485,0.690318892880275,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_exp_rank_4_b_d_from_e_predictions.csv
HIGH,HIGH_direct_poly_rank_1,polynomial,log_gap,1,delta_peak_mm + u_r_div_u_p + tau_r_div_tau_p,0.973644681685454,0.9164592040036932,0.9570092266915,0.3671243075036799,1.39911458219373,67,0.2086729647948124,0.9787848012936342,69.28449773370022,0.809735366731728,69.28449773370018,0.8102530322811441,0.29121559120316176,0.9872131876333075,0.23979535551068332,0.996750803858919,0.10478493421379823,0.05390329770917793,1.60835104699558,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_1_b_d_from_e_predictions.csv
