dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
FULL,FULL_poly_rank_1,284,41.00685663015048,0.7605037926264208,41.00685663015046,0.7506235094996049,3.4168445001986845,0.8817954356150707,0.7030230762508118,0.30378218016094666,0.07475300288157655,5.232462462125929,284,0.9844760538439672
FULL,FULL_poly_rank_5,286,40.99697098979786,0.7589889604836659,40.99697098979784,0.7490542181490025,3.599310808896868,0.8681888231266551,0.707297450144368,0.3102612565249321,0.07665759370622809,5.233388694569019,286,0.9845042567410915
FULL,FULL_poly_rank_2,283,45.648211534389304,0.7042969024429604,45.64821153438929,0.6920229262989102,3.3569684097707837,0.8865023877825997,0.7546058601247503,0.3253720383090435,0.08893689771113758,5.232870826176699,283,0.9817455235127958
FULL,FULL_poly_rank_3,285,44.95013052755257,0.7113252955342043,44.950130527552545,0.6993631855225765,3.372761036793567,0.8846733977773887,0.8016262675072376,0.3303719506121895,0.09155370528715101,6.103488949236,285,0.979542772716105
FULL,FULL_poly_rank_4,286,47.67236639692985,0.6740825733801978,47.67236639692984,0.6606747577635788,3.548522431435021,0.8718904182199495,0.9440693739880504,0.35495520619634874,0.08722252405641404,8.433838697134437,286,0.9723420083654676
FULL,FULL_exp_log_rank_4,274,69.66566543651675,0.3321564730673876,69.66566543651673,0.3046371857627246,4.813762759746951,0.7712336739739387,1.0362607044340382,0.41647389026602316,0.11038307306125245,11.07881402253537,274,0.967325276261832
FULL,FULL_exp_log_rank_1,277,69.90645264311718,0.32025772546191866,69.90645264311716,0.2923079520548879,5.487985167556713,0.6940209086812268,1.425996861059341,0.4608755413526198,0.10065889389871426,15.972755053743523,277,0.9373797707620916
FULL,FULL_exp_log_rank_5,269,72.33733428940295,0.29238213235828237,72.33733428940292,0.26329591041090605,4.414125308279997,0.8100005701143433,1.1346579715144396,0.46602775086758763,0.11682325361810232,11.635874326217872,269,0.9619245223820952
FULL,FULL_exp_d_rank_4,277,75.81643116807557,0.2008191603108589,75.81643116807554,0.167775794643368,4.200912002228442,0.8240577484867583,1.6399973720219125,0.5308119369389865,0.10587536164447052,20.28399332054544,277,0.917540683345406
FULL,FULL_exp_log_rank_2,270,73.68168183520856,0.263112031424397,73.68168183520855,0.2329911928791829,4.883417422647609,0.7345731352760723,1.3932492378196415,0.5317526717701876,0.137564469686553,12.664626508377404,270,0.9427954123795401
FULL,FULL_exp_d_rank_1,276,77.94417476699417,0.15819177800824857,77.94417476699415,0.12331599995052278,4.164931177786309,0.8276667681057504,2.3853256413375683,0.5772528781242602,0.0928216410288508,35.14496475510309,276,0.82084710193753
FULL,FULL_exp_d_rank_3,275,79.91276276234288,0.11818608585261736,79.91276276234287,0.08171957432211907,4.133279788181994,0.8310047314103699,3.1133213425309965,0.614438926032674,0.086301252854945,48.40013917524021,275,0.695635481789797
FULL,FULL_exp_d_rank_5,273,81.45758760891333,0.09040738348207611,81.4575876089133,0.05274568386961709,4.089895129080281,0.8352972682742352,3.4649220064953794,0.6310139616630688,0.08064087741184688,54.44939841264252,273,0.6265834783550567
FULL,FULL_exp_d_rank_2,272,85.28783459162685,0.006300532125135705,85.28783459162682,-0.034978296516543494,4.0529990931403885,0.8384131685389075,4.472027917936239,0.7053729534574018,0.09710815025642237,71.76592692951019,272,0.3807507448854339
FULL,FULL_exp_log_rank_3,265,92.42843133214156,-0.13863951873237168,92.42843133214156,-0.18584493658593515,4.60905873651948,0.7960100177744391,7.273436761001245,0.8552653035958295,0.11757720627347641,117.47352635851041,265,-0.5733950954114297
